ds,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2020-01-01,5.220488769112537,3.5974849179360087,2.8619188652164973,43.93094243079762,10.837450133176938,0.7757342891819722,9.093482947668942,1.8699566162781562
2020-01-02,4.996437743557288,3.539710027020022,2.868045643731314,44.226719328043025,9.533514326232462,0.6339507856459792,8.856804214257835,1.8833997832090241
2020-01-03,5.235642297900615,3.635867772139681,3.153147178852738,44.81192289004203,10.839376950564903,0.8874219003145358,9.312501718541437,2.1121260228956835
2020-01-04,6.2083789726884655,4.290179847390809,3.5648549007944337,49.89334176885545,9.650502120186703,0.6796606257634833,8.831042749590592,2.6413452942679307
2020-01-05,5.783441431119025,4.544625834616274,2.972971828478402,49.73427143143006,7.016660380098298,0.47748633974642024,8.594245421922693,2.404654634066524
2020-01-06,5.56661910126167,3.6711323486875784,3.4517204726537116,45.5385379544757,10.618625680962646,0.771671770467284,9.297108668513918,2.3546823232639866
2020-01-07,5.572183276673281,3.5202798463890805,3.8791817035981353,44.58420436701316,11.154032093326759,0.8997107996617404,8.749638798993757,2.5524831726373134
2020-01-08,5.337045698323237,3.6825852978347364,3.5055566258920674,44.18046875620386,11.817822118011765,0.8456267824750026,8.809726851277308,2.2063007571630013
2020-01-09,5.106649930992194,3.6288577884636553,3.5021828104264126,44.04583229664887,10.567419361156361,0.7249421805359784,8.692903663915871,2.202933126688288
2020-01-10,5.342064650727972,3.7333045691186797,3.770066712820062,44.22489685147467,11.916068662408094,0.9985209013934413,9.271942912339691,2.4093871343817383
2020-01-11,6.31326073110793,4.400106384280115,4.157190759611661,48.930742093788425,10.757854516838659,0.8093571477314008,8.914596669473804,2.9115178382719087
2020-01-12,5.888640450693867,4.671070197620199,3.533847408724852,48.43222602930166,8.141332958569198,0.6237754439334386,8.799977983797199,2.643674982993889
2020-01-13,5.6735315287623695,3.817820928815855,3.97487637511671,43.93788137711167,11.746260161917345,0.9320909255180017,9.620451866464697,2.5593272412041443
2020-01-14,5.6816904907110946,3.690514253611432,4.359089874470371,42.72951492549821,12.269477774671277,1.0713896840004713,9.183520337410776,2.7204354262709427
2020-01-15,5.449479856480124,3.8791285254390684,3.937518245196944,42.119021941084206,12.905386083054555,1.0253484984565258,9.344754380393638,2.3361910871884195
2020-01-16,5.221778904494943,3.8538326626801402,3.8824076832566012,41.826496066967685,11.611137079409241,0.9092144300920846,9.317598473842814,2.294357635950716
