ds,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-05,4.802155968100863,3.914194661044658,4.895430527107735,33.55796065532101,7.1855773985442495,0.48491232727083283,2.92940144656905,1.222187223885255
2014-01-06,4.534750520540164,3.1710350739076483,5.529223559015627,30.723858080794272,11.461354798944193,0.9560548713476136,3.329697440737991,1.1264796384578482
2014-01-07,4.535310669042862,3.0622070633834375,6.038718487708479,30.175419591702756,11.943541039889356,1.1570101909645858,3.023643085186724,1.2721361175597203
2014-01-08,4.368164980320286,3.205161119606505,5.598911965421925,30.108255375841,12.555509812693225,1.0289239943081783,3.0463376132585185,1.0209137701549962
2014-01-09,4.1768088968560155,3.165305596628379,5.547248414780515,30.235169439845567,11.270667644012965,0.8804114620668322,3.195273516950719,1.0113290571579867
2014-01-10,4.311815207368353,3.245579420786018,5.90282088555124,30.435152908993526,12.893807225236573,1.2560609667117444,3.4148201620856615,1.1610574084496503
2014-01-11,5.163482010287228,3.788775146835655,6.3443699266861655,33.97594103163032,11.761155134538575,0.9788749062842611,3.2556862356904728,1.4982950991680475
2014-01-12,4.84540654787796,4.061519962470367,5.514352742123813,34.20506456616474,8.542812171086226,0.6532505063637586,3.2579517756865477,1.3791799052532216
2014-01-13,4.583119941437297,3.3330196991690775,6.092006680213235,31.08271733358221,12.791713168493501,1.1424299345834736,3.7299421275132443,1.2606598235668183
2014-01-14,4.588196445559749,3.243633629708273,6.540196018263738,30.32727798936376,13.262170054543843,1.3598319673425796,3.4818296308479444,1.3822666005512536
2014-01-15,4.426802802621151,3.4088123969683912,6.037381683167916,30.092242479191093,13.841891070688996,1.2465325537767797,3.557924262251815,1.1057840661221772
2014-01-16,4.2411338130326115,3.391687164834389,5.918421647639075,30.084976991918378,12.521912376063376,1.1084564271304216,3.7524109741321565,1.0710152179144858
2014-01-17,4.379342687236011,3.4957731846834212,6.203586640455892,30.182417608874115,14.064079846335002,1.4858505971070155,4.008062266935843,1.1962038876968106
2014-01-18,5.229108599529237,4.064547004777309,6.573770007312174,33.731055522617226,12.855533682166929,1.2102130930004975,3.8702120873266956,1.51019572451509
