,M01AE,N02BE
2019-10-09,3.9605600293614525,40.523477920883
2019-10-10,3.742414504153008,40.69727074011759
2019-10-11,4.40871707625317,38.14433569610999
2019-10-12,3.9685878661265783,40.392251820074684
2019-10-13,3.8344936050145524,36.86032640100719
2019-10-14,4.042862079963443,41.643934667231896
2019-10-15,4.5042646245945095,39.93628933922827
2019-10-16,4.26274516239319,43.246422066035095
2019-10-17,3.9914640348722097,41.29980768227233
2019-10-18,4.032092253345616,40.56682101745024
2019-10-19,4.254556260863039,39.85915327026863
2019-10-20,4.5882550195798135,39.288838049434965
2019-10-21,4.01837115409561,38.0519547481316
2019-10-22,4.150433823295136,43.1157798359887
2019-10-23,3.9642041939123014,42.56259999339394
2019-10-24,3.657414826993787,39.70654155235807
2019-10-25,3.669236386673577,38.10680011327829
2019-10-26,3.973308645740554,37.00717171323222
2019-10-27,4.492335648501075,41.84877202570592
2019-10-28,4.178625704715688,39.8596176370727
2019-10-29,4.484115319076692,39.57629866903404
2019-10-30,3.7929181875445694,44.62426892690768
2019-10-31,6.9110984475234165,37.633512774165624
2019-11-01,4.1823471705988915,40.069993306890005
2019-11-02,3.888055291803751,37.186189194547715
2019-11-03,4.045028523533135,35.11128510752673
2019-11-04,3.9713864037747553,47.66032743590366
2019-11-05,3.7862699210874866,44.66382416835716
2019-11-06,3.9977843907455908,42.09704204322405
2019-11-07,3.803996860321234,42.820739570411334
2019-11-08,4.594624693825836,37.42047300451821
2019-11-09,3.7603180934700915,37.806278755304234
2019-11-10,3.895023579340208,40.17033532272322
2019-11-11,4.2956426336816325,39.09050885209372
2019-11-12,3.521372903746654,39.77233265255809
2019-11-13,3.9819191556134963,40.989314320031724
2019-11-14,4.161960183374061,40.11250711025
2019-11-15,4.186496502202503,37.66908498680372
2019-11-16,4.278478724439054,44.24797476108618
2019-11-17,3.9747809131710117,39.38975832845661
2019-11-18,4.08479578094838,41.80760879818302
2019-11-19,4.016259626670889,44.103824079197814
2019-11-20,4.359167667519864,43.7818136189694
2019-11-21,3.729141779983516,39.55486143035417
2019-11-22,3.824192402673669,37.142501421313845
2019-11-23,4.17510123846606,37.00353919195543
2019-11-24,4.182847607134791,39.33433011562025
2019-11-25,4.327888356450026,44.944567162325974
2019-11-26,3.974716069762301,41.496109381429825
2019-11-27,3.9521813087749016,42.485801608102264
2019-11-28,3.6414779429004716,37.62376033714388
2019-11-29,3.8598079107848773,32.45834734658667
2019-11-30,4.575892313156172,46.439544080310334
2019-12-01,3.989304216052279,44.74152811956299
2019-12-02,4.185619327851188,47.73111735783615
2019-12-03,4.629041944784816,41.229884053970586
2019-12-04,3.7278627925788337,39.74120254869395
2019-12-05,3.8622732734842335,37.801527198419215
2019-12-06,4.03197825849634,36.249898871250316
2019-12-07,3.6354152265489184,44.554218904872265
2019-12-08,4.222628954236433,49.859815034218855
2019-12-09,4.285406978479027,47.420952278464185
2019-12-10,4.351594321032454,42.573621286448905
2019-12-11,3.8789790834683973,41.04339174973377
2019-12-12,3.987124707605994,37.346520529423046
2019-12-13,4.066872638455734,38.583418947735495
2019-12-14,4.372259188862279,45.31044676703029
2019-12-15,4.27082573293143,44.15735581261307
2019-12-16,4.343214858441343,41.562473942339984
2019-12-17,4.138211309078032,47.3304876708027
2019-12-18,4.370089853484187,38.61572521728022
2019-12-19,4.527671606132415,41.76230048663296
2019-12-20,4.605354537675543,38.71584840195563
2019-12-21,4.012667370855064,45.19418023078954
2019-12-22,4.232712333188975,48.51041886715048
2019-12-23,4.571173471969805,42.527251638312215
2019-12-24,4.4765829791396925,42.36541555978675
2019-12-25,4.4632666282595075,40.7709547082788
2019-12-26,4.044654950903512,38.26681641487402
2019-12-27,4.124454548325578,38.49738565937707
2019-12-28,5.98979518804951,40.51223273299057
2019-12-29,4.050776343439681,48.56169248966986
2019-12-30,4.467996562992202,39.94813086645467
2019-12-31,4.434537035589179,43.2481274596451
2020-01-01,4.3189236098152985,42.59011783078744
2020-01-02,4.164072862294036,43.44614351300143
2020-01-03,4.6014340932201065,42.01226126894534
2020-01-04,4.294990328332232,39.770955856987634
2020-01-05,4.795695516596556,45.18105860279915
2020-01-06,4.846424419548013,45.765439312697126
2020-01-07,4.165520625301843,41.42819745772492
2020-01-08,4.218019597212768,41.885849708801864
2020-01-09,4.589907228910489,37.86455180149356
2020-01-10,4.3358955201624205,36.219484831463895
2020-01-11,5.356315463424371,41.21218839112555
2020-01-12,4.264385149814584,43.55835224176794
2020-01-13,4.543567846431623,45.29326426372151
2020-01-14,4.497778637429794,47.11125649198451
2020-01-15,4.976618338689543,38.804075565356676
2020-01-16,4.847957816546882,38.51617913950848
2020-01-17,4.597340828131056,40.100846483552374
2020-01-18,4.22868358439351,37.68082631403546
2020-01-19,4.567399765609755,45.38265182623451
2020-01-20,4.74045189333331,39.95081380463311
2020-01-21,4.34659605917785,41.93031087478721
2020-01-22,7.404698925392893,42.0112280660853
2020-01-23,4.386792421010704,39.77835430351955
2020-01-24,4.351575218770072,37.7956412005844
2020-01-25,4.683268056843385,41.65011160663696
2020-01-26,4.950632969865476,44.25262503475665
2020-01-27,4.795151293300931,41.52976585929514
2020-01-28,3.837605020688683,39.681975404157775
2020-01-29,4.642074239912561,43.23620716860948
2020-01-30,5.86654104174704,40.3943288933544
2020-01-31,4.14450710248198,34.84138351512233
2020-02-01,4.319196363224792,39.72975445392213
2020-02-02,4.418397211374176,43.83536091325368
2020-02-03,4.813924774044569,43.92093029015443
2020-02-04,4.666528218120077,42.51793185004948
2020-02-05,7.184811083071709,40.431893243710526
2020-02-06,4.510702367973829,36.63373652427574
2020-02-07,4.34649026199838,32.21061874931821
